sell 0.00 | sp -1.7000 | buy -0.03 | bp -0.8667 

sell 0.33 | sp -0.0333 | buy 0.50 | bp 0.0000
sell -0.30 | sp 0.0000 | buy -0.57 | bp 0.0000 

sell -0.30 | sp 0.0000 | buy -0.57 | bp 0.0000
sell -0.17 | sp 0.0000 | buy -0.20 | bp 0.0000 

sell 0.03 | sp 0.0000 | buy -3.67 | bp 0.0000
sell -0.03 | sp -0.3333 | buy -0.33 | bp -0.1333 

sell -0.17 | sp 0.2000 | buy -3.20 | bp -1.4667
sell -0.20 | sp 0.0000 | buy 0.20 | bp 0.0000 

sell 0.27 | sp 0.0000 | buy -0.30 | bp 0.0000
sell 8.57 | sp -1.3000 | buy -0.13 | bp -0.1667 

sell 0.13 | sp 0.0000 | buy 0.23 | bp 0.6333
sell -0.10 | sp 0.0000 | buy -0.17 | bp -0.6333 

sell 0.03 | sp 0.0000 | buy -0.43 | bp 0.0000
sell 0.00 | sp 0.0000 | buy 0.00 | bp 0.0000 

sell 0.00 | sp 0.0000 | buy 0.00 | bp 0.0000
sell 0.10 | sp 0.0000 | buy 0.10 | bp 0.0000 

sell -0.33 | sp 0.0000 | buy 0.03 | bp 0.0000
